province,year,GDP (100million),GDP per capita,Agricultural population (10thousand),Rural final consumption expenditure (100million),Total export (10000 USD),Fixed asset investment (10000),Urban residents final consumption expenditure (100million),Total population (10thousand),Primary industry added value (100million),Tertiary industry added value (100million),Secondary industry added value (100million),Fiscal expenditure (10000),Fiscal revenue (10000),Total import and export (10000 USD),Total import (10000 USD),Non-agricultural population (10thousand)
云南省,2018年,17881.12,37136.0,,,1281200.0,,,4703.0,2498.86,8424.82,6957.44,60750000.0,37197700.0,2990000.0,1708300,
云南省,2019年,23223.8,47944.0,,,1502000.0,,,4714.0,3037.6,12224.6,7961.6,,40035600,3370000.0,1867000,
云南省,2020年,24521.9,51975.0,,,2214000.0,,,4722.0,3598.9,12635.5,8287.5,69740200.0,21166900.0,3910000.0,1699000.0,
云南省,2021年,27146.76,57686.0,,,2735000.0,,,4690.0,3870.17,13687.22,9589.37,66343600.0,22782900.0,4866000.0,2131000.0,
云南省,2022年,28954.2,61716.0,,,2413900.0,,,4693.0,4012.2,14470.8,10471.2,,34567400.0,5004000.0,2590300.0,
内蒙古,1949年,5.37,,,,,,,608.1,,,,786,739,,,
内蒙古,1950年,,,,,,200,,659.9,,,,4562,5347,,,
内蒙古,1951年,,,,,,1000,,686.6,,,,6025,5400,,,
内蒙古,1952年,12.16,173,,,1062,3000.0,,715.9,8.64,2.15,1.37,10280,13335,1062,1062,
内蒙古,1953年,15.57,211,,,,9000.0,,758.4,10.44,2.88,2.25,13997,8700,,,
内蒙古,1954年,19.46,249,,,,20200.0,,801.5,12.37,3.44,3.65,18045,18503,,,
内蒙古,1955年,17.49,213,,,,18400.0,,822.1,10.25,3.71,3.53,17489,21100,,,
内蒙古,1956年,24.6,283,,,,32300.0,,896.6,14.11,5.06,5.43,29032,27600,,,
内蒙古,1957年,21.27,232,,,1754,34000.0,,936.0,11.29,4.93,5.05,26771,31400,1754,1754,
内蒙古,1958年,28.1,292,,,,93000.0,,986.1,12.55,5.9,9.65,64432,42800,,,
内蒙古,1959年,35.76,349,,,,123300.0,,1062.5,14.75,7.6,13.41,99357,70300,,,
内蒙古,1960年,36.56,325,,,,127000.0,,1191.1,11.8,7.65,17.11,122162,89917,,,
内蒙古,1961年,25.25,215,,,,38000.0,,1163.1,11.4,6.6,7.25,56471,49529,,,
内蒙古,1962年,25.12,215,,,753,22400.0,,1171.8,12.75,5.81,6.56,37641,33600,,,
内蒙古,1963年,29.02,243,,,,33000.0,,1215.4,12.71,6.41,9.9,39952,38345,,,
内蒙古,1964年,32.55,262,,,,47000.0,,1253.7,14.04,7.08,11.43,49683,43219,,,
内蒙古,1965年,35.41,275,,,333,61000.0,,1296.4,15.21,8.12,12.08,51808,46000,333,333,268.0
内蒙古,1966年,38.32,289,,,,59000.0,,1330.0,17.12,8.19,13.01,59224,48500,,,
内蒙古,1967年,31.8,233,,,,34000.0,,1371.0,13.87,7.5,10.43,47949,40232,,,
内蒙古,1968年,32.96,235,,,,37000.0,,1411.0,14.87,7.55,10.54,41477,38900,,,
内蒙古,1969年,32.9,227,,,,39000.0,,1460.0,14.78,7.6,10.52,61706,27700,,,
内蒙古,1970年,39.17,263,,,158,64000.0,,1491.0,17.69,8.54,12.94,78582,44100,554,396,174.0
内蒙古,1971年,41.61,271,1178.1,,,70000.0,,1555.0,16.82,8.8,15.99,90915,36543,,,376.9
内蒙古,1972年,39.36,247,1203.6,,,71000.0,,1602.9,14.56,9.26,15.54,97994,31314,,,399.3
